Fecha;TOTAL EMPRESA;Plan Acumulado
01/06/2024;99;99
02/06/2024;345;444
03/06/2024;345;789
04/06/2024;99;888
05/06/2024;99;987
06/06/2024;345;1332
07/06/2024;346;1678
08/06/2024;346;2024
09/06/2024;346;2370
10/06/2024;346;2716
11/06/2024;99;2815
12/06/2024;99;2914
13/06/2024;346;3260
14/06/2024;346;3606
15/06/2024;346;3952
16/06/2024;346;4298
17/06/2024;346;4644
18/06/2024;99;4743
19/06/2024;99;4842
20/06/2024;346;5188
21/06/2024;346;5534
22/06/2024;346;5880
23/06/2024;346;6226
24/06/2024;346;6572
25/06/2024;99;6671
26/06/2024;99;6770
27/06/2024;346;7116
28/06/2024;346;7462
29/06/2024;346;7808
30/06/2024;346;8154
01/07/2024;346;8500
01/01/2024;90;90
02/01/2024;90;180
03/01/2024;90;270
04/01/2024;389;659
05/01/2024;383;1042
06/01/2024;117;1159
07/01/2024;117;1276
08/01/2024;383;1659
09/01/2024;383;2042
10/01/2024;383;2425
11/01/2024;383;2808
12/01/2024;383;3191
13/01/2024;117;3308
14/01/2024;117;3425
15/01/2024;383;3808
16/01/2024;383;4191
17/01/2024;383;4574
18/01/2024;383;4957
19/01/2024;383;5340
20/01/2024;117;5457
21/01/2024;117;5574
22/01/2024;383;5957
23/01/2024;383;6340
24/01/2024;383;6723
25/01/2024;383;7106
26/01/2024;383;7489
27/01/2024;117;7606
28/01/2024;117;7723
29/01/2024;383;8106
30/01/2024;383;8489
31/01/2024;383;8872
01/02/2024;628;628
02/02/2024;629;1257
03/02/2024;134;1391
04/02/2024;134;1525
05/02/2024;629;2154
06/02/2024;629;2783
07/02/2024;629;3412
08/02/2024;629;4041
09/02/2024;629;4670
10/02/2024;134;4804
11/02/2024;134;4938
12/02/2024;629;5567
13/02/2024;629;6196
14/02/2024;629;6825
15/02/2024;629;7454
16/02/2024;629;8083
17/02/2024;134;8217
18/02/2024;134;8351
19/02/2024;629;8980
20/02/2024;629;9609
21/02/2024;629;10238
22/02/2024;629;10867
23/02/2024;629;11496
24/02/2024;134;11630
25/02/2024;134;11764
26/02/2024;629;12393
27/02/2024;629;13022
28/02/2024;629;13651
29/02/2024;629;14280
01/03/2024;323;323
02/03/2024;133;456
03/03/2024;133;589
04/03/2024;473;1062
05/03/2024;473;1535
06/03/2024;473;2008
07/03/2024;473;2481
08/03/2024;473;2954
09/03/2024;133;3087
10/03/2024;133;3220
11/03/2024;473;3693
12/03/2024;473;4166
13/03/2024;473;4639
14/03/2024;473;5112
15/03/2024;473;5585
16/03/2024;133;5718
17/03/2024;133;5851
18/03/2024;473;6324
19/03/2024;473;6797
20/03/2024;473;7270
21/03/2024;473;7743
22/03/2024;473;8216
23/03/2024;133;8349
24/03/2024;133;8482
25/03/2024;473;8955
26/03/2024;473;9428
27/03/2024;473;9901
28/03/2024;473;10374
29/03/2024;520;10894
30/03/2024;133;11027
31/03/2024;133;11160
01/04/2024;417;417
02/04/2024;417;834
03/04/2024;417;1251
04/04/2024;417;1668
05/04/2024;417;2085
06/04/2024;134;2219
07/04/2024;134;2353
08/04/2024;417;2770
09/04/2024;417;3187
10/04/2024;417;3604
11/04/2024;417;4021
12/04/2024;417;4438
13/04/2024;134;4572
14/04/2024;134;4706
15/04/2024;417;5123
16/04/2024;417;5540
17/04/2024;417;5957
18/04/2024;417;6374
19/04/2024;417;6791
20/04/2024;134;6925
21/04/2024;134;7059
22/04/2024;417;7476
23/04/2024;417;7893
24/04/2024;417;8310
25/04/2024;417;8727
26/04/2024;417;9144
27/04/2024;134;9278
28/04/2024;134;9412
29/04/2024;417;9829
30/04/2024;416;10245
01/05/2024;99;99
02/05/2024;345;444
03/05/2024;345;789
04/05/2024;99;888
05/05/2024;99;987
06/05/2024;345;1332
07/05/2024;346;1678
08/05/2024;346;2024
09/05/2024;346;2370
10/05/2024;346;2716
11/05/2024;99;2815
12/05/2024;99;2914
13/05/2024;346;3260
14/05/2024;346;3606
15/05/2024;346;3952
16/05/2024;346;4298
17/05/2024;346;4644
18/05/2024;99;4743
19/05/2024;99;4842
20/05/2024;346;5188
21/05/2024;346;5534
22/05/2024;346;5880
23/05/2024;346;6226
24/05/2024;346;6572
25/05/2024;99;6671
26/05/2024;99;6770
27/05/2024;346;7116
28/05/2024;346;7462
29/05/2024;346;7808
30/05/2024;346;8154
31/05/2024;346;8500
